url_length,hostname_length,path_length,query_length,num_dots,num_hyphens,num_underscores,num_slashes,num_at_symbol,num_question_marks,num_equals,num_ampersand,num_percent,num_digits,digit_ratio,has_https,has_ip_address,subdomain_depth,path_depth,hostname_has_hyphen,tld_in_path,shannon_entropy,suspicious_keyword_count,Label
84,76,0,0,3,1,0,2,0,0,0,0,0,14,0.16666666666666666,1,0,2,0,1,0,4.769462959031123,0,1
137,13,116,0,2,14,0,6,0,0,0,0,0,8,0.058394160583941604,1,0,1,4,0,0,4.468007905649433,0,0
99,19,72,0,3,8,0,6,0,0,0,0,0,0,0.0,1,0,2,3,0,0,4.225839732979604,0,0
51,28,11,0,3,0,0,3,0,0,0,0,0,9,0.17647058823529413,0,0,1,1,0,0,4.718091332891946,0,0
142,20,1,112,3,3,5,3,0,1,4,3,0,2,0.014084507042253521,1,0,1,0,0,0,4.5501157605485645,0,0
37,28,1,0,2,1,0,3,0,0,0,0,0,6,0.16216216216216217,1,0,1,0,1,0,4.314334028365066,0,1
111,14,89,0,3,1,4,9,0,0,0,0,0,8,0.07207207207207207,1,0,1,7,0,0,4.896824516498973,0,0
108,24,76,0,3,4,0,7,0,0,0,0,0,10,0.09259259259259259,1,0,1,5,0,0,4.445356286278227,0,0
38,16,14,0,2,0,0,5,0,0,0,0,0,0,0.0,1,0,1,2,0,0,4.106241250673739,0,0
84,76,0,0,3,1,0,2,0,0,0,0,0,10,0.11904761904761904,1,0,2,0,1,0,4.723530928674887,0,1
96,23,65,0,3,0,0,4,0,0,0,0,0,13,0.13541666666666666,1,0,2,2,0,0,4.829310485290683,0,1
22,14,1,0,2,1,0,3,0,0,0,0,0,0,0.0,0,0,1,0,1,0,3.663532754804254,0,1
84,76,0,0,3,1,0,2,0,0,0,0,0,10,0.11904761904761904,1,0,2,0,1,0,4.661862108061008,0,1
62,43,11,0,3,1,0,3,0,0,0,0,0,19,0.3064516129032258,1,0,1,1,1,0,4.693890415428524,0,1
284,16,99,160,3,9,3,8,0,1,1,0,0,46,0.1619718309859155,1,0,1,6,0,0,5.818771865944307,0,0
32,24,0,0,2,1,0,2,0,0,0,0,0,0,0.0,1,0,1,0,1,0,3.7775182662886326,0,1
81,13,1,58,2,4,0,3,0,1,1,0,1,2,0.024691358024691357,1,0,1,0,0,0,5.286958490351975,0,0
33,24,1,0,2,0,0,3,0,0,0,0,0,1,0.030303030303030304,1,0,1,0,0,0,3.9801694078807643,0,1
61,12,41,0,2,0,0,7,0,0,0,0,0,0,0.0,1,0,0,5,0,0,4.01745644444215,0,1
85,76,1,0,3,1,0,3,0,0,0,0,0,10,0.11764705882352941,1,0,2,0,1,0,4.666883478038234,0,1
68,21,39,0,2,1,2,4,0,0,0,0,0,22,0.3235294117647059,1,0,1,2,1,0,4.743579341467189,0,0
30,11,11,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,0,1,0,0,3.872905595320056,0,0
23,14,1,0,2,0,0,3,0,0,0,0,0,0,0.0,1,0,1,0,0,0,3.6424896731661267,0,1
38,29,1,0,2,1,0,3,0,0,0,0,0,0,0.0,1,0,1,0,1,0,3.8699136193225243,0,0
